steps,interpolated,date,interval
NA,1.716981132,10/1/2012,0
NA,0.339622642,10/1/2012,5
NA,0.132075472,10/1/2012,10
NA,0.150943396,10/1/2012,15
NA,0.075471698,10/1/2012,20
NA,2.094339623,10/1/2012,25
NA,0.528301887,10/1/2012,30
NA,0.867924528,10/1/2012,35
NA,0,10/1/2012,40
NA,1.471698113,10/1/2012,45
NA,0.301886792,10/1/2012,50
NA,0.132075472,10/1/2012,55
NA,0.320754717,10/1/2012,100
NA,0.679245283,10/1/2012,105
NA,0.150943396,10/1/2012,110
NA,0.339622642,10/1/2012,115
NA,0,10/1/2012,120
NA,1.113207547,10/1/2012,125
NA,1.830188679,10/1/2012,130
NA,0.169811321,10/1/2012,135
NA,0.169811321,10/1/2012,140
NA,0.377358491,10/1/2012,145
NA,0.264150943,10/1/2012,150
NA,0,10/1/2012,155
NA,0,10/1/2012,200
NA,0,10/1/2012,205
NA,1.132075472,10/1/2012,210
NA,0,10/1/2012,215
NA,0,10/1/2012,220
NA,0.132075472,10/1/2012,225
NA,0,10/1/2012,230
NA,0.226415094,10/1/2012,235
NA,0,10/1/2012,240
NA,0,10/1/2012,245
NA,1.547169811,10/1/2012,250
NA,0.943396226,10/1/2012,255
NA,0,10/1/2012,300
NA,0,10/1/2012,305
NA,0,10/1/2012,310
NA,0,10/1/2012,315
NA,0.20754717,10/1/2012,320
NA,0.622641509,10/1/2012,325
NA,1.622641509,10/1/2012,330
NA,0.58490566,10/1/2012,335
NA,0.490566038,10/1/2012,340
NA,0.075471698,10/1/2012,345
NA,0,10/1/2012,350
NA,0,10/1/2012,355
NA,1.188679245,10/1/2012,400
NA,0.943396226,10/1/2012,405
NA,2.566037736,10/1/2012,410
NA,0,10/1/2012,415
NA,0.339622642,10/1/2012,420
NA,0.358490566,10/1/2012,425
NA,4.113207547,10/1/2012,430
NA,0.660377358,10/1/2012,435
NA,3.490566038,10/1/2012,440
NA,0.830188679,10/1/2012,445
NA,3.113207547,10/1/2012,450
NA,1.113207547,10/1/2012,455
NA,0,10/1/2012,500
NA,1.566037736,10/1/2012,505
NA,3,10/1/2012,510
NA,2.245283019,10/1/2012,515
NA,3.320754717,10/1/2012,520
NA,2.962264151,10/1/2012,525
NA,2.094339623,10/1/2012,530
NA,6.056603774,10/1/2012,535
NA,16.01886792,10/1/2012,540
NA,18.33962264,10/1/2012,545
NA,39.45283019,10/1/2012,550
NA,44.49056604,10/1/2012,555
NA,31.49056604,10/1/2012,600
NA,49.26415094,10/1/2012,605
NA,53.77358491,10/1/2012,610
NA,63.45283019,10/1/2012,615
NA,49.96226415,10/1/2012,620
NA,47.0754717,10/1/2012,625
NA,52.1509434,10/1/2012,630
NA,39.33962264,10/1/2012,635
NA,44.01886792,10/1/2012,640
NA,44.16981132,10/1/2012,645
NA,37.35849057,10/1/2012,650
NA,49.03773585,10/1/2012,655
NA,43.81132075,10/1/2012,700
NA,44.37735849,10/1/2012,705
NA,50.50943396,10/1/2012,710
NA,54.50943396,10/1/2012,715
NA,49.9245283,10/1/2012,720
NA,50.98113208,10/1/2012,725
NA,55.67924528,10/1/2012,730
NA,44.32075472,10/1/2012,735
NA,52.26415094,10/1/2012,740
NA,69.54716981,10/1/2012,745
NA,57.8490566,10/1/2012,750
NA,56.1509434,10/1/2012,755
NA,73.37735849,10/1/2012,800
NA,68.20754717,10/1/2012,805
NA,129.4339623,10/1/2012,810
NA,157.5283019,10/1/2012,815
NA,171.1509434,10/1/2012,820
NA,155.3962264,10/1/2012,825
NA,177.3018868,10/1/2012,830
NA,206.1698113,10/1/2012,835
NA,195.9245283,10/1/2012,840
NA,179.5660377,10/1/2012,845
NA,183.3962264,10/1/2012,850
NA,167.0188679,10/1/2012,855
NA,143.4528302,10/1/2012,900
NA,124.0377358,10/1/2012,905
NA,109.1132075,10/1/2012,910
NA,108.1132075,10/1/2012,915
NA,103.7169811,10/1/2012,920
NA,95.96226415,10/1/2012,925
NA,66.20754717,10/1/2012,930
NA,45.22641509,10/1/2012,935
NA,24.79245283,10/1/2012,940
NA,38.75471698,10/1/2012,945
NA,34.98113208,10/1/2012,950
NA,21.05660377,10/1/2012,955
NA,40.56603774,10/1/2012,1000
NA,26.98113208,10/1/2012,1005
NA,42.41509434,10/1/2012,1010
NA,52.66037736,10/1/2012,1015
NA,38.9245283,10/1/2012,1020
NA,50.79245283,10/1/2012,1025
NA,44.28301887,10/1/2012,1030
NA,37.41509434,10/1/2012,1035
NA,34.69811321,10/1/2012,1040
NA,28.33962264,10/1/2012,1045
NA,25.09433962,10/1/2012,1050
NA,31.94339623,10/1/2012,1055
NA,31.35849057,10/1/2012,1100
NA,29.67924528,10/1/2012,1105
NA,21.32075472,10/1/2012,1110
NA,25.54716981,10/1/2012,1115
NA,28.37735849,10/1/2012,1120
NA,26.47169811,10/1/2012,1125
NA,33.43396226,10/1/2012,1130
NA,49.98113208,10/1/2012,1135
NA,42.03773585,10/1/2012,1140
NA,44.60377358,10/1/2012,1145
NA,46.03773585,10/1/2012,1150
NA,59.18867925,10/1/2012,1155
NA,63.86792453,10/1/2012,1200
NA,87.69811321,10/1/2012,1205
NA,94.8490566,10/1/2012,1210
NA,92.77358491,10/1/2012,1215
NA,63.39622642,10/1/2012,1220
NA,50.16981132,10/1/2012,1225
NA,54.47169811,10/1/2012,1230
NA,32.41509434,10/1/2012,1235
NA,26.52830189,10/1/2012,1240
NA,37.73584906,10/1/2012,1245
NA,45.05660377,10/1/2012,1250
NA,67.28301887,10/1/2012,1255
NA,42.33962264,10/1/2012,1300
NA,39.88679245,10/1/2012,1305
NA,43.26415094,10/1/2012,1310
NA,40.98113208,10/1/2012,1315
NA,46.24528302,10/1/2012,1320
NA,56.43396226,10/1/2012,1325
NA,42.75471698,10/1/2012,1330
NA,25.13207547,10/1/2012,1335
NA,39.96226415,10/1/2012,1340
NA,53.54716981,10/1/2012,1345
NA,47.32075472,10/1/2012,1350
NA,60.81132075,10/1/2012,1355
NA,55.75471698,10/1/2012,1400
NA,51.96226415,10/1/2012,1405
NA,43.58490566,10/1/2012,1410
NA,48.69811321,10/1/2012,1415
NA,35.47169811,10/1/2012,1420
NA,37.54716981,10/1/2012,1425
NA,41.8490566,10/1/2012,1430
NA,27.50943396,10/1/2012,1435
NA,17.11320755,10/1/2012,1440
NA,26.0754717,10/1/2012,1445
NA,43.62264151,10/1/2012,1450
NA,43.77358491,10/1/2012,1455
NA,30.01886792,10/1/2012,1500
NA,36.0754717,10/1/2012,1505
NA,35.49056604,10/1/2012,1510
NA,38.8490566,10/1/2012,1515
NA,45.96226415,10/1/2012,1520
NA,47.75471698,10/1/2012,1525
NA,48.13207547,10/1/2012,1530
NA,65.32075472,10/1/2012,1535
NA,82.90566038,10/1/2012,1540
NA,98.66037736,10/1/2012,1545
NA,102.1132075,10/1/2012,1550
NA,83.96226415,10/1/2012,1555
NA,62.13207547,10/1/2012,1600
NA,64.13207547,10/1/2012,1605
NA,74.54716981,10/1/2012,1610
NA,63.16981132,10/1/2012,1615
NA,56.90566038,10/1/2012,1620
NA,59.77358491,10/1/2012,1625
NA,43.86792453,10/1/2012,1630
NA,38.56603774,10/1/2012,1635
NA,44.66037736,10/1/2012,1640
NA,45.45283019,10/1/2012,1645
NA,46.20754717,10/1/2012,1650
NA,43.67924528,10/1/2012,1655
NA,46.62264151,10/1/2012,1700
NA,56.30188679,10/1/2012,1705
NA,50.71698113,10/1/2012,1710
NA,61.22641509,10/1/2012,1715
NA,72.71698113,10/1/2012,1720
NA,78.94339623,10/1/2012,1725
NA,68.94339623,10/1/2012,1730
NA,59.66037736,10/1/2012,1735
NA,75.09433962,10/1/2012,1740
NA,56.50943396,10/1/2012,1745
NA,34.77358491,10/1/2012,1750
NA,37.45283019,10/1/2012,1755
NA,40.67924528,10/1/2012,1800
NA,58.01886792,10/1/2012,1805
NA,74.69811321,10/1/2012,1810
